"","capital","capitalLabel","coordinate_location","capital_of","capital_ofLabel","country","countryLabel"
"165","http://www.wikidata.org/entity/Q44211","Corrientes","Point(-58.816666666 -27.483333333)","http://www.wikidata.org/entity/Q858178","Capital Department","http://www.wikidata.org/entity/Q414","Argentina"
"166","http://www.wikidata.org/entity/Q44215","Santa Rosa","Point(-64.290555555 -36.620277777)","http://www.wikidata.org/entity/Q44795","La Pampa","http://www.wikidata.org/entity/Q414","Argentina"
"167","http://www.wikidata.org/entity/Q44215","Santa Rosa","Point(-64.290555555 -36.620277777)","http://www.wikidata.org/entity/Q2398948","Department Capital","http://www.wikidata.org/entity/Q414","Argentina"
"168","http://www.wikidata.org/entity/Q47916","Lucknow","Point(80.947 26.847)","http://www.wikidata.org/entity/Q1498","Uttar Pradesh","http://www.wikidata.org/entity/Q668","India"
"169","http://www.wikidata.org/entity/Q47916","Lucknow","Point(80.947 26.847)","http://www.wikidata.org/entity/Q1773416","Lucknow district","http://www.wikidata.org/entity/Q668","India"
"170","http://www.wikidata.org/entity/Q48329","Mariehamn","Point(19.94444444 60.09861111)","http://www.wikidata.org/entity/Q5689","Åland","http://www.wikidata.org/entity/Q33","Finland"
"171","http://www.wikidata.org/entity/Q48329","Mariehamn","Point(19.94444444 60.09861111)","http://www.wikidata.org/entity/Q5263423","Åland","http://www.wikidata.org/entity/Q33","Finland"
"172","http://www.wikidata.org/entity/Q48338","Kayseri","Point(35.483333333 38.733333333)","http://www.wikidata.org/entity/Q33490","Cappadocia","http://www.wikidata.org/entity/Q43","Turkey"
"173","http://www.wikidata.org/entity/Q48338","Kayseri","Point(35.483333333 38.733333333)","http://www.wikidata.org/entity/Q483472","Kayseri Province","http://www.wikidata.org/entity/Q43","Turkey"
"174","http://www.wikidata.org/entity/Q48338","Kayseri","Point(35.483333333 38.733333333)","http://www.wikidata.org/entity/Q29654286","Kingdom of Cappadocia","http://www.wikidata.org/entity/Q43","Turkey"
"175","http://www.wikidata.org/entity/Q51678","Pago Pago","Point(-170.700555555 -14.279444444)","http://www.wikidata.org/entity/Q16641","American Samoa","http://www.wikidata.org/entity/Q30","United States of America"
"176","http://www.wikidata.org/entity/Q51678","Pago Pago","Point(-170.700555555 -14.279444444)","http://www.wikidata.org/entity/Q269205","Tutuila","http://www.wikidata.org/entity/Q30","United States of America"
"177","http://www.wikidata.org/entity/Q52101","Middelburg","Point(3.613611111 51.499722222)","http://www.wikidata.org/entity/Q705","Zeeland","http://www.wikidata.org/entity/Q55","Netherlands"
